,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
2076,08515,NJ,34,2600,308874.0,313508.0,2600,118797.6923076923,120580.0
2077,08518,NJ,34,2890,183524.0,185197.0,2890,63503.11418685121,64082.006920415224
2078,08520,NJ,34,14370,1134422.0,1147389.0,14370,78943.7717466945,79846.13778705636
2079,08525,NJ,34,2330,330385.0,337192.0,2330,141796.1373390558,144717.5965665236
2080,08527,NJ,34,27590,2070356.0,2098303.0,27590,75040.08698803915,76053.0264588619
2081,08528,NJ,34,210,20699.0,20885.0,210,98566.66666666666,99452.38095238095
2082,08530,NJ,34,3960,463607.0,471802.0,3960,117072.47474747474,119141.91919191918
2083,08533,NJ,34,3430,264042.0,267314.0,3430,76980.17492711371,77934.11078717202
2084,08534,NJ,34,6280,1289592.0,1308017.0,6280,205349.04458598726,208282.9617834395
2085,08535,NJ,34,2610,409603.0,416409.0,2610,156936.0153256705,159543.67816091955
2086,08536,NJ,34,9220,1073987.0,1086387.0,9220,116484.49023861172,117829.39262472885
2087,08540,NJ,34,20850,5489834.0,5560150.0,20850,263301.3908872902,266673.860911271
2088,08542,NJ,34,1780,370542.0,376302.0,1780,208169.6629213483,211405.6179775281
2089,08550,NJ,34,9190,1900632.0,1928367.0,9190,206815.2339499456,209833.18824809574
2090,08551,NJ,34,2890,398594.0,406077.0,2890,137921.79930795848,140511.07266435985
2091,08553,NJ,34,410,52699.0,53534.0,410,128534.1463414634,130570.73170731707
2092,08554,NJ,34,1870,109514.0,110330.0,1870,58563.63636363636,59000.0
2093,08558,NJ,34,3510,1002710.0,1016632.0,3510,285672.36467236467,289638.74643874646
2094,08559,NJ,34,2430,317511.0,324602.0,2430,130662.96296296295,133581.06995884774
2095,08560,NJ,34,1770,259152.0,265681.0,1770,146413.5593220339,150102.25988700567
2096,08562,NJ,34,2480,151966.0,153995.0,2480,61276.6129032258,62094.75806451613
2097,08608,NJ,34,390,12825.0,12901.0,390,32884.61538461539,33079.48717948718
2098,08609,NJ,34,5890,166364.0,167245.0,5890,28245.161290322583,28394.736842105263
2099,08610,NJ,34,15950,800394.0,807221.0,15950,50181.44200626959,50609.467084639495
2100,08611,NJ,34,9890,292555.0,294158.0,9890,29580.88978766431,29742.972699696664
2101,08618,NJ,34,15590,655248.0,660696.0,15590,42030.01924310456,42379.474021808855
2102,08619,NJ,34,12050,837056.0,846048.0,12050,69465.22821576764,70211.45228215768
